case_id,n_cores,no_l2_makespan,no_l2_added_copy,l2_makespan,l2_added_copy,cache_hit_rate
case_070,2,57739,101888,57739,101888,0.19528276211029888
case_070,3,39454,101892,39551,101892,0.053972415802264695
case_070,4,30489,118288,32698,844420,0.35283040000911225
case_070,5,27785,924000,26808,933088,0.3987761219914031
case_071,1,18919,0,18919,0,0.0
case_071,2,11259,117796,11259,117796,0.28634082061702193
case_071,3,9952,139974,9951,143334,0.18197568197568198
case_071,4,9194,123944,9194,123944,0.2673291297803135
case_071,5,13675,189416,13520,189416,0.2245194778049694
case_072,1,23897828,108613680,23890756,108613680,0.026210198484652728
case_072,2,11958823,83324976,11992130,102371376,0.10396637069772256
case_072,3,8030776,101060656,8011757,100642864,0.1403263607291016
case_072,4,5990292,102689084,5967270,102689084,0.19395343876916846
case_072,5,5020894,96448560,4996840,96931888,0.16751812781228
case_073,1,10081626,141570432,10081626,141570432,0.0
case_073,2,5414140,125454720,5314978,125463936,0.13910819018337892
case_073,3,3806377,143758464,4080713,139944576,0.06943156528189912
case_073,4,3566462,127371392,3010693,127374464,0.34495946332498695
case_073,5,3222140,123355648,2690314,123354624,0.32594794381821474
case_074,1,1682239,6070280,1678120,6070280,0.16680485013829857
case_074,2,834579,11358224,833718,11337744,0.15928877400854702
case_074,3,552262,7208968,551505,7299080,0.2832833075048133
case_074,4,409612,7454724,408570,7651332,0.3691747873137469
case_074,5,353899,13901876,344084,14024756,0.33962679091464204
case_075,1,1441809,0,1441809,0,0.0
case_075,2,1116508,2494502,1116404,2494502,0.16457652861542219
case_075,3,770014,4328940,769927,4328940,0.30502532483783024
case_075,4,676638,5891090,676010,5891090,0.33191977068704737
case_075,5,796959,6144568,795959,6181688,0.33064640932059314
case_076,1,6185113,28280832,6183098,28280832,0.13357661937269952
case_076,2,3094078,22297600,3089132,22248448,0.30093450725980847
case_076,3,2057374,22785024,2056318,22681600,0.22257684562483376
case_076,4,1548137,21839872,1544775,23049216,0.42795561886198363
case_076,5,1245861,22726656,1243002,22935552,0.48124858799608405
case_077,1,495320,0,495320,0,0.0
case_077,2,246432,57344,246432,57344,0.026082004763022353
case_077,3,167493,540266,167493,540266,0.07406153338589899
case_077,4,146113,233472,145697,233472,0.050631271152485446
case_077,5,119902,172036,119902,172036,0.04249524703734156
case_078,1,2296143,12644568,2296143,12644568,0.0
case_078,2,1088776,5096064,1074148,5068416,0.6191718952834271
case_078,3,710734,6038784,707541,6023424,0.5781987142931204
case_078,4,540618,6562176,529083,6568320,0.638154720126338
case_078,5,477048,12036096,434873,11972064,0.6057813876862955
case_079,1,31052251,32448512,31052251,32448512,0.0
case_079,2,14860116,31944704,14860116,31944704,0.09069212410501193
case_079,3,9859507,32677888,9859507,32677888,0.1903267000106417
case_079,4,7621285,30420992,7621534,30420992,0.24287813701107847
case_079,5,6014575,50350080,6027095,50731008,0.42573853738092593
case_080,1,292138,548864,291826,548864,0.1686143572621035
case_080,2,145224,1650688,145224,1650688,0.2799539170506912
case_080,3,101399,909312,98453,2535424,0.17511961722488037
case_080,4,85853,2379776,75189,3506176,0.2964196502914238
case_080,5,85746,2289664,71890,2146304,0.37895812053115424
case_081,1,151795,0,151795,0,0.0
case_081,2,76860,0,76860,0,0.0
case_081,3,50925,502286,50925,502286,0.283488168180578
case_081,4,39435,20496,39435,20496,0.019224487190558973
case_081,5,30943,0,30943,0,0.0
case_082,1,721041,0,721041,0,0.0
